Code,Company,Price,Change,Volume,Value,Capitalisation
SUM,Summerset Group Holdings Limited,$15.290,$0.190 / 1.26%,"405,129","$6,174,407.57","$3,509,076,330"
STU,Steel & Tube Holdings Limited,$1.120,$0.000 / 0.00%,"84,391","$94,346.19","$185,917,245"
TAH,Third Age Health Services Limited,$2.290,$0.010 / 0.44%,"1,376","$3,150.13","$22,327,500"
SPK,Spark New Zealand Limited,$4.890,$0.015 / 0.31%,"1,573,494","$7,679,930.26","$9,130,241,705"
TNZ,Smartshares NZ Top 10 ETF,$2.180,$0.005 / 0.23%,"257,089","$560,483.97","$170,871,829"
TPW,Trustpower Limited,$8.000,$0.030 / 0.38%,"31,674","$252,622.66","$2,503,784,000"
TRU,TruScreen Group Limited,$0.064,$0.002 / 3.23%,"989,910","$62,139.44","$23,223,440"
VTL,Vital Limited,$0.690,-$0.040 / -5.48%,"97,077","$68,207.96","$28,552,807"
TGG,T&G Global Limited,$2.980,$0.000 / 0.00%,"6,828","$20,242.88","$365,178,748"
TWF,Smartshares Total World ETF,$3.046,$0.002 / 0.07%,"255,631","$776,055.03","$140,093,323"
TWH,Smartshares Total World (NZD Hedged) ETF,$3.354,-$0.001 / -0.03%,"46,261","$154,866.47","$76,772,486"
TWR,Tower Limited,$0.690,-$0.010 / -1.43%,"854,333","$589,723.80","$290,936,608"
USA,Smartshares US Equities ESG ETF,$3.059,$0.012 / 0.39%,"26,045","$79,171.66","$53,048,462"
USF,Smartshares US 500 ETF,$11.720,-$0.080 / -0.68%,"287,101","$3,375,878.46","$429,033,970"
USG,Smartshares US Large Growth ETF,$8.474,$0.023 / 0.27%,"73,130","$619,468.75","$185,062,550"
USM,Smartshares US Mid Cap ETF,$7.012,$0.009 / 0.13%,"10,464","$73,178.56","$102,674,928"
USS,Smartshares US Small Cap ETF,$6.308,-$0.075 / -1.17%,"9,165","$58,329.64","$88,997,749"
USV,Smartshares US Large Value ETF,$4.012,-$0.044 / -1.08%,"18,672","$75,238.68","$73,973,962"
VCT,Vector Limited (NS),$4.210,-$0.010 / -0.24%,"112,295","$476,879.26","$4,210,000,000"
VGL,Vista Group International Limited,$2.450,$0.030 / 1.24%,"112,815","$274,687.32","$560,596,289"
AFC,AFC Group Holdings Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$3,664,216"
TRA,Turners Automotive Group Limited,$4.480,$0.150 / 3.46%,"88,996","$393,170.77","$385,590,231"
WDT,Wellington Drive Technologies Limited,$0.122,-$0.002 / -1.61%,"179,047","$21,782.68","$52,693,584"
WHS,The Warehouse Group Limited,$3.780,$0.070 / 1.89%,"54,766","$205,537.36","$1,311,066,994"
WHS,The Warehouse Group Limited,$3.780,$0.070 / 1.89%,"54,766","$205,537.36","$1,311,066,994"
ZEL,Z Energy Limited,$3.530,$0.020 / 0.57%,"1,131,911","$3,984,716.56","$1,836,083,501"
